title,company,location,region,match_percentage,salary_label,apply_url
Data Scientist,ISR Information Products AG,Hamburg,Hamburg,68.7,€61k - €105k,https://www.arbeitsagentur.de/jobsuche/jobdetail/12336-a26f813j0426272-S
Data Scientist,REWE Group,Köln,Nordrhein-Westfalen,68.6,€62k - €107k,https://www.arbeitsagentur.de/jobsuche/jobdetail/12608-1062149-28033-1-S
Data Scientist,Noweda Apothekergenossenschaft eG,"Essen, Ruhr",Nordrhein-Westfalen,68.4,€56k - €97k,https://www.arbeitsagentur.de/jobsuche/jobdetail/19384-938440348-S
Data Scientist,Siemens Energy Global GmbH & Co. KG,Mülheim an der Ruhr,Nordrhein-Westfalen,67.7,€67k - €116k,https://www.arbeitsagentur.de/jobsuche/jobdetail/15170-444308484-S
Data Scientist,Alexander Thamm GmbH,München,Bayern,67.3,€63k - €109k,https://www.arbeitsagentur.de/jobsuche/jobdetail/13635-009fa101_JB5149524-S
Data Scientist,STRABAG BMTI GmbH & Co. KG,Köln,Nordrhein-Westfalen,67.3,€56k - €97k,https://www.arbeitsagentur.de/jobsuche/jobdetail/12908-061782521-S
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Ludwigshafen am Rhein,Rheinland-Pfalz,67.2,€50k - €87k,https://www.arbeitsagentur.de/jobsuche/jobdetail/12265-503440_JB5154578-S
Data Scientist,HDI AG,Hilden,Nordrhein-Westfalen,67.0,€56k - €97k,https://www.arbeitsagentur.de/jobsuche/jobdetail/19376-44182235-515-S
Data Scientist,Hays AG,Erfurt,Thüringen,66.8,€46k - €79k,https://www.arbeitsagentur.de/jobsuche/jobdetail/13319-868490/1_607417LS-S
Data Scientist,Akkodis Germany Tech Experts GmbH,Berlin,Berlin,66.7,€55k - €95k,https://www.arbeitsagentur.de/jobsuche/jobdetail/12634-BB-641049-7878-6713-S
