title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,skills,predicted_min,predicted_max,salary_label,engpassberufe_info,is_engpassberuf,language_info,language_level,international_friendly
Data Scientist,Vodafone GmbH,Unterföhring,Bayern,,17102-44108724-529-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44108724-529-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",69575,120175,€70k - €120k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Vodafone GmbH"", ""region"": ""Bayern"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -4, ""reasons"": [""Company (Vodafone GmbH) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A1,True
Data Scientist,ASC Technologies AG,Hösbach,Bayern,,10001-1003123827-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003123827-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",63250,109250,€63k - €109k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""ASC Technologies AG"", ""region"": ""Bayern"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
Data Scientist,adp Merkur GmbH,"Lübbecke, Westfalen",Nordrhein-Westfalen,,14820-0064559033-S,2026-05-06,https://www.arbeitsagentur.de/jobsuche/jobdetail/14820-0064559033-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",56100,96900,€56k - €97k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""adp Merkur GmbH"", ""region"": ""Nordrhein-Westfalen"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -1, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A2,True
Data Scientist,Hays AG,Erfurt,Thüringen,,13319-868490/1_607417LS-S,2026-04-20,https://www.arbeitsagentur.de/jobsuche/jobdetail/13319-868490/1_607417LS-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",45980,79420,€46k - €79k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Hays AG"", ""region"": ""Thüringen"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Company (Hays AG) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally"", ""Thüringen workplaces tend to use German more""], ""international_friendly"": true}",A2,True
Data Scientist,BMW Group,München,Bayern,,14225-8370494a2e544af7-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-8370494a2e544af7-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",75900,131100,€76k - €131k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""BMW Group"", ""region"": ""Bayern"", ""language_level"": ""A1"", ""label"": ""A1 — Beginner"", ""description"": ""No German required — English fully sufficient"", ""emoji"": ""🟢"", ""score"": -4, ""reasons"": [""Company (BMW Group) is known to work in English"", ""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A1,True
Data Scientist,Procter & Gamble,Groß-Gerau,Hessen,,14225-31282db56eaf2271-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-31282db56eaf2271-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",59400,102600,€59k - €103k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Procter & Gamble"", ""region"": ""Hessen"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -1, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally""], ""international_friendly"": true}",A2,True
Data Scientist,DIS AG Germany,Hamburg,Hamburg,,12288-4834216364-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4834216364-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",57475,99275,€57k - €99k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""DIS AG Germany"", ""region"": ""Hamburg"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Hamburg has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
Data Scientist,Lantenhammer Consulting Silvia Lantenhammer,München,Bayern,,10000-1185445644-S,2025-09-24,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1185445644-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""python"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",63250,109250,€63k - €109k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Lantenhammer Consulting Silvia Lantenhammer"", ""region"": ""Bayern"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
Data Scientist,Peagle GmbH,"Augsburg, Bayern",Bayern,,10001-1002678126-S,2026-05-11,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002678126-S,2026-06-06 22:29:40,"{""Programming Languages"": [""python"", ""r"", ""sql""], ""ML & AI Frameworks"": [""scikit-learn"", ""tensorflow"", ""pytorch""], ""Data & Analytics"": [""pandas"", ""numpy"", ""tableau""], ""Data Science Skills"": [""machine learning"", ""statistik"", ""deep learning""]}",63250,109250,€63k - €109k,"{""title"": ""Data Scientist"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""data scientist"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Data Scientist"", ""company"": ""Peagle GmbH"", ""region"": ""Bayern"", ""language_level"": ""A2"", ""label"": ""A2 — Elementary"", ""description"": ""Basic German helpful but not required"", ""emoji"": ""🟢"", ""score"": -2, ""reasons"": [""Role type (Data Scientist) commonly uses English internationally"", ""Bayern has high concentration of English-speaking workplaces""], ""international_friendly"": true}",A2,True
Informatiker/in,PSI Technics GmbH,"Winningen, Mosel",Rheinland-Pfalz,,10000-1201827806-S,2026-05-20,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1201827806-S,2026-06-06 22:29:40,"{""Programming Languages"": [""r"", ""java"", ""python"", ""sql""], ""Cloud & DevOps"": [""git"", ""docker"", ""rest api""]}",43200,74880,€43k - €75k,"{""title"": ""Informatiker/in"", ""is_engpassberuf"": true, ""category"": ""IT & Data"", ""matched_role"": ""informatiker"", ""eu_blue_card_eligible"": false, ""chancenkarte_points"": 2, ""visa_info"": ""This role is a shortage occupation. EU Blue Card threshold: €45,300/year. Chancenkarte bonus: +2 points."", ""badge"": ""🔴 Engpassberuf""}",True,"{""title"": ""Informatiker/in"", ""company"": ""PSI Technics GmbH"", ""region"": ""Rheinland-Pfalz"", ""language_level"": ""B1"", ""label"": ""B1 — Intermediate"", ""description"": ""Basic German needed for daily communication"", ""emoji"": ""🟡"", ""score"": 0, ""reasons"": [], ""international_friendly"": true}",B1,True
