title,company,location,region,employment_type,job_id,posted_date,apply_url,scraped_at,description
Data Scientist,Vodafone GmbH,Unterföhring,Bayern,,17102-44108724-529-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44108724-529-S,2026-06-06 22:29:40,
Data Scientist,ASC Technologies AG,Hösbach,Bayern,,10001-1003123827-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003123827-S,2026-06-06 22:29:40,
Data Scientist,adp Merkur GmbH,"Lübbecke, Westfalen",Nordrhein-Westfalen,,14820-0064559033-S,2026-05-06,https://www.arbeitsagentur.de/jobsuche/jobdetail/14820-0064559033-S,2026-06-06 22:29:40,
Data Scientist,Hays AG,Erfurt,Thüringen,,13319-868490/1_607417LS-S,2026-04-20,https://www.arbeitsagentur.de/jobsuche/jobdetail/13319-868490/1_607417LS-S,2026-06-06 22:29:40,
Data Scientist,BMW Group,München,Bayern,,14225-8370494a2e544af7-S,2026-06-05,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-8370494a2e544af7-S,2026-06-06 22:29:40,
Data Scientist,Procter & Gamble,Groß-Gerau,Hessen,,14225-31282db56eaf2271-S,2026-06-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14225-31282db56eaf2271-S,2026-06-06 22:29:40,
Data Scientist,DIS AG Germany,Hamburg,Hamburg,,12288-4834216364-S,2026-06-04,https://www.arbeitsagentur.de/jobsuche/jobdetail/12288-4834216364-S,2026-06-06 22:29:40,
Data Scientist,Lantenhammer Consulting Silvia Lantenhammer,München,Bayern,,10000-1185445644-S,2025-09-24,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1185445644-S,2026-06-06 22:29:40,
Data Scientist,Peagle GmbH,"Augsburg, Bayern",Bayern,,10001-1002678126-S,2026-05-11,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002678126-S,2026-06-06 22:29:40,
Informatiker/in,PSI Technics GmbH,"Winningen, Mosel",Rheinland-Pfalz,,10000-1201827806-S,2026-05-20,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1201827806-S,2026-06-06 22:29:40,
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,,10000-1205211041-S,2026-04-16,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1205211041-S,2026-06-06 22:29:40,
Data Scientist,Constaff GmbH,,,,15220-2026-14462-S,2026-06-03,https://www.arbeitsagentur.de/jobsuche/jobdetail/15220-2026-14462-S,2026-06-06 22:29:40,
Data Scientist,Constaff GmbH,Frankfurt am Main,Hessen,,15220-2026-14441-S,2026-10-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/15220-2026-14441-S,2026-06-06 22:29:40,
Data Scientist,team SE,Flensburg,Schleswig-Holstein,,10001-1002616378-S,2026-04-23,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1002616378-S,2026-06-06 22:29:40,
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,,10001-1003134800-S,2026-05-28,https://www.arbeitsagentur.de/jobsuche/jobdetail/10001-1003134800-S,2026-06-06 22:29:40,
Data Scientist,Vodafone GmbH,Düsseldorf,Nordrhein-Westfalen,,17102-44195550-523-S,2026-07-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/17102-44195550-523-S,2026-06-06 22:29:40,
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Bruchsal,Baden-Württemberg,,12265-505528_JB5149284-S,2026-06-02,https://www.arbeitsagentur.de/jobsuche/jobdetail/12265-505528_JB5149284-S,2026-06-06 22:29:40,
Datenbankentwickler/in,Miele,Gütersloh,Nordrhein-Westfalen,,13644-303024-S,2026-06-06,https://www.arbeitsagentur.de/jobsuche/jobdetail/13644-303024-S,2026-06-06 22:29:40,
Data Scientist,Forto Logistics SE & Co. KG,Berlin,Berlin,,10000-1206543821-S,2026-06-03,https://www.arbeitsagentur.de/jobsuche/jobdetail/10000-1206543821-S,2026-06-06 22:29:40,
Data Scientist,Körber AG,Markt Schwaben,Bayern,,14470-44073430-331-S,2026-04-01,https://www.arbeitsagentur.de/jobsuche/jobdetail/14470-44073430-331-S,2026-06-06 22:29:40,
