title,company,location,region,employment_type,posted_date,job_id,scraped_at
Data Scientist,Vodafone GmbH,Unterföhring,Bayern,N/A,2026-06-01,N/A,2026-06-06 17:19:52
Data Scientist,ASC Technologies AG,Hösbach,Bayern,N/A,2026-05-28,N/A,2026-06-06 17:19:52
Data Scientist,adp Merkur GmbH,"Lübbecke, Westfalen",Nordrhein-Westfalen,N/A,2026-05-06,N/A,2026-06-06 17:19:52
Data Scientist,Hays AG,Erfurt,Thüringen,N/A,2026-04-20,N/A,2026-06-06 17:19:52
Data Scientist,BMW Group,München,Bayern,N/A,2026-06-05,N/A,2026-06-06 17:19:52
Data Scientist,Procter & Gamble,Groß-Gerau,Hessen,N/A,2026-06-01,N/A,2026-06-06 17:19:52
Data Scientist,DIS AG Germany,Hamburg,Hamburg,N/A,2026-06-04,N/A,2026-06-06 17:19:52
Data Scientist,Lantenhammer Consulting Silvia Lantenhammer,München,Bayern,N/A,2025-09-24,N/A,2026-06-06 17:19:52
Data Scientist,Peagle GmbH,"Augsburg, Bayern",Bayern,N/A,2026-05-11,N/A,2026-06-06 17:19:52
Informatiker/in,PSI Technics GmbH,"Winningen, Mosel",Rheinland-Pfalz,N/A,2026-05-20,N/A,2026-06-06 17:19:52
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,N/A,2026-04-16,N/A,2026-06-06 17:19:52
Data Scientist,Constaff GmbH,N/A,N/A,N/A,2026-06-03,N/A,2026-06-06 17:19:52
Data Scientist,Constaff GmbH,Frankfurt am Main,Hessen,N/A,2026-10-01,N/A,2026-06-06 17:19:52
Data Scientist,team SE,Flensburg,Schleswig-Holstein,N/A,2026-04-23,N/A,2026-06-06 17:19:52
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,N/A,2026-05-28,N/A,2026-06-06 17:19:52
Data Scientist,Vodafone GmbH,Düsseldorf,Nordrhein-Westfalen,N/A,2026-07-01,N/A,2026-06-06 17:19:52
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Bruchsal,Baden-Württemberg,N/A,2026-06-02,N/A,2026-06-06 17:19:52
Datenbankentwickler/in,Miele,Gütersloh,Nordrhein-Westfalen,N/A,2026-06-06,N/A,2026-06-06 17:19:52
Data Scientist,Forto Logistics SE & Co. KG,Berlin,Berlin,N/A,2026-06-03,N/A,2026-06-06 17:19:52
Data Scientist,Körber AG,Markt Schwaben,Bayern,N/A,2026-04-01,N/A,2026-06-06 17:19:52
Data Scientist,Akkodis Germany Tech Experts GmbH,Berlin,Berlin,N/A,2026-05-20,N/A,2026-06-06 17:19:52
Data Scientist,Akkodis Germany Tech Experts GmbH,Berlin,Berlin,N/A,2026-05-15,N/A,2026-06-06 17:19:52
Statistiker/in,Gesamtverband der Deutschen Versicherungswirtschaft e. V.,Berlin,Berlin,N/A,2026-06-02,N/A,2026-06-06 17:19:52
Betriebswirt/in (Hochschule),AOK Baden - Württemberg Hauptverwaltung,N/A,Baden-Württemberg,N/A,2026-09-01,N/A,2026-06-06 17:19:52
Data Scientist,AOK NordWest,Dortmund,Nordrhein-Westfalen,N/A,2026-06-05,N/A,2026-06-06 17:19:52
Data Scientist,Hellweg,Dortmund,Nordrhein-Westfalen,N/A,2026-06-04,N/A,2026-06-06 17:19:54
Informatiker/in,Ins. für Arbeitswissenschaft und Technologiemanagement IAT der Universität Stuttgart,Stuttgart,Baden-Württemberg,N/A,2026-05-29,N/A,2026-06-06 17:19:54
Data Scientist,FEGA & Schmitt Elektrogroßhandel GmbH,"Ansbach, Mittelfranken",Bayern,N/A,2026-06-02,N/A,2026-06-06 17:19:54
Data Scientist,Hays Professional Solutions GmbH,N/A,Berlin,N/A,2026-05-27,N/A,2026-06-06 17:19:54
Data Scientist,quo data GmbH Qualitätsmanagement und Statistik,Dresden,Sachsen,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Data Scientist,advanced engineering GmbH,Landsberg am Lech,Bayern,N/A,2026-06-05,N/A,2026-06-06 17:19:54
Informatiker/in,Rheinland Kraftstoff GmbH,Gelsenkirchen,Nordrhein-Westfalen,N/A,2026-05-07,N/A,2026-06-06 17:19:54
Datenbankentwickler/in,SCHICKLER Unternehmensberatung,Hamburg,Hamburg,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Datenbankentwickler/in,lise GmbH,Köln,Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Datenbankentwickler/in,CTcon,Frankfurt am Main,Hessen,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Data Scientist,Josef WITT GmbH,Weiden in der Oberpfalz,Bayern,N/A,2026-05-28,N/A,2026-06-06 17:19:54
Informatiker/in,Universität Trier,Trier,Rheinland-Pfalz,N/A,2026-06-04,N/A,2026-06-06 17:19:54
Informatiker/in,PAJUNK® Medical Produkte GmbH,"Geisingen, Baden",Baden-Württemberg,N/A,2026-06-02,N/A,2026-06-06 17:19:54
Data Scientist,Universität Regensburg Land Bayern,Regensburg,Bayern,N/A,2026-07-01,N/A,2026-06-06 17:19:54
Ozeanograf/in,Helmholtz-Zentrum hereon GmbH,Geesthacht,Schleswig-Holstein,N/A,2026-06-05,N/A,2026-06-06 17:19:54
Mathematiker/in,ERGO Group AG,Düsseldorf,Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Data Scientist,Landesrechnungshof Nordrhein-Westfalen,Düsseldorf,Nordrhein-Westfalen,N/A,2026-06-05,N/A,2026-06-06 17:19:54
Physiker/in,Heraeus Quarzglas Bitterfeld GmbH & Co. KG,Bitterfeld-Wolfen,Sachsen-Anhalt,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Informatiker/in,Bayerisches Landesamt für Steuern Dienststelle Nürnberg,"Nürnberg, Mittelfranken",Bayern,N/A,2026-07-01,N/A,2026-06-06 17:19:54
Data Scientist,Deutsche Telekom AG,Darmstadt,Hessen,N/A,2026-05-29,N/A,2026-06-06 17:19:54
Data Scientist,Siemens Energy Global GmbH & Co. KG,Berlin,Berlin,N/A,2026-07-01,N/A,2026-06-06 17:19:54
Data Scientist,Brunel GmbH NL Mannheim,Mannheim,Baden-Württemberg,N/A,2026-06-01,N/A,2026-06-06 17:19:54
Data Scientist,HDI AG,Hannover,Niedersachsen,N/A,2026-05-11,N/A,2026-06-06 17:19:54
Data Scientist,REWE Group,Köln,Nordrhein-Westfalen,N/A,2026-06-04,N/A,2026-06-06 17:19:54
Data Scientist,ISR Information Products AG,Hamburg,Hamburg,N/A,2026-05-13,N/A,2026-06-06 17:19:54
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,N/A,2026-04-22,N/A,2026-06-06 17:19:55
Data Scientist,Noweda Apothekergenossenschaft eG,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-05-28,N/A,2026-06-06 17:19:55
Datenbankentwickler/in,Deichmann,"Essen, Ruhr",Nordrhein-Westfalen,N/A,2026-06-01,N/A,2026-06-06 17:19:55
Informatiker/in,Dirk Rossmann GmbH,Burgwedel,Niedersachsen,N/A,2026-06-02,N/A,2026-06-06 17:19:55
Data Scientist,BORA Lüftungstechnik GmbH,Raubling,Bayern,N/A,2026-05-11,N/A,2026-06-06 17:19:55
Data-Warehouse-Analyst/in,compeople,Frankfurt am Main,Hessen,N/A,2026-05-22,N/A,2026-06-06 17:19:55
Data Scientist,AOK NordWest Die Gesundheitskasse.,Dortmund,Nordrhein-Westfalen,N/A,2026-05-28,N/A,2026-06-06 17:19:55
Data Scientist,Xiller GmbH,"Nürnberg, Mittelfranken",Bayern,N/A,2026-05-27,N/A,2026-06-06 17:19:55
Data Scientist,FERCHAU GmbH Niederlassung Nürnberg City,Neumarkt in der Oberpfalz,Bayern,N/A,2026-05-26,N/A,2026-06-06 17:19:55
Data Scientist,Charisma-Tec GmbH,Stolberg (Rheinland),Nordrhein-Westfalen,N/A,2026-05-19,N/A,2026-06-06 17:19:55
Data Scientist,Brunel GmbH NL Wuppertal,Wuppertal,Nordrhein-Westfalen,N/A,2026-03-30,N/A,2026-06-06 17:19:55
Wirtschaftsinformatiker/in (Hochschule),Zentrum für Arbeit und Bildung Frankenthal gemeinnützige GmbH Personaldienste,Bruchsal,Baden-Württemberg,N/A,2026-05-21,N/A,2026-06-06 17:19:55
Data Scientist,Delivery Hero SE,N/A,N/A,N/A,2026-05-31,N/A,2026-06-06 17:19:55
Datenbankentwickler/in,Riverty Group GmbH,Berlin,Berlin,N/A,2026-06-02,N/A,2026-06-06 17:19:55
Data Scientist,FERCHAU GmbH Niederlassung Mannheim,Ludwigshafen am Rhein,Rheinland-Pfalz,N/A,2026-05-25,N/A,2026-06-06 17:19:55
Data Scientist,energy & meteo systems GmbH,Oldenburg (Oldb),Niedersachsen,N/A,2026-05-26,N/A,2026-06-06 17:19:55
Data Scientist,HUK-COBURG VVaG,Coburg,Bayern,N/A,2026-03-27,N/A,2026-06-06 17:19:55
Data Scientist,Delivery Hero SE,N/A,N/A,N/A,2026-04-15,N/A,2026-06-06 17:19:55
Data Scientist,LET Lüddecke GmbH,"Ulm, Donau",Baden-Württemberg,N/A,2026-02-11,N/A,2026-06-06 17:19:55
Mathematiker/in,prognum Automotive GmbH,Stuttgart,Baden-Württemberg,N/A,2026-05-21,N/A,2026-06-06 17:19:55
Informatiker/in,Lehmann + Pioneers Digital GmbH,Leinfelden-Echterdingen,Baden-Württemberg,N/A,2026-05-15,N/A,2026-06-06 17:19:55
Data Scientist,Merck KGaA,Darmstadt,Hessen,N/A,2026-06-02,N/A,2026-06-06 17:19:55
Data Scientist,BMW Group,München,Bayern,N/A,2026-06-05,N/A,2026-06-06 17:19:55
Data Scientist,BMW Group,München,Bayern,N/A,2026-06-05,N/A,2026-06-06 17:19:55
